investment_type,investment_name,investment_amount,total_returns,time_duration,current_value
Mutual Fund,Franklin India Tax Saver,15000.0,Interest rate 10-12%,3 years,18000.0
SIP,Axis SIP Growth Fund,5000.0,Interest rate 12-15%,3 years,6500.0
Mutual Fund,HDFC Equity Diversified,100.0,Interest rate 10-12%,5 years,28000.0
Stock,TCS Ltd,1500.0,N/A,2 years,3200.0
Equity,Reliance Industries,10000.0,Interest rate 8-10%,4 years,12500.0
SIP,ICICI Prudential Bluechip Fund,3000.0,Interest rate 11-14%,2 years,3400.0
Mutual Fund,SBI Small Cap Fund,25000.0,Interest rate 9-11%,3 years,29000.0
Stock,HDFC Bank,2000.0,N/A,1 year,2100.0
Equity,Bharti Airtel,8000.0,Interest rate 7-9%,4 years,8700.0
SIP,Kotak Small Cap Fund,4000.0,Interest rate 10-13%,2 years,4600.0
Mutual Fund,Aditya Birla Sun Life Tax Relief 96,100.0,Interest rate 8-10%,5 years,16500.0
SIP,HDFC SIP Plan,15000.0,Interest rate 10-12%,3 years,18300.0
Mutual Fund,ABC Growth Fund,50000.0,Interest rate 8-10%,5 years,60000.0
Stock,Tata Motors,20000.0,N/A,2 years,22000.0
Equity,Reliance Equity,75000.0,Interest rate 15-20%,4 years,90000.0
SIP,ICICI Direct SIP,10000.0,Interest rate 9-11%,1.5 years,11050.0
Mutual Fund,XYZ Income Fund,100.0,Interest rate 7-9%,3.5 years,33000.0
Stock,Infosys,25000.0,N/A,1 year,25500.0
Equity,Tata Steel Equity,60000.0,Interest rate 12-16%,4.5 years,72000.0
SIP,Kotak SIP Plan,20000.0,Interest rate 11-13%,2 years,23000.0
Mutual Fund,DEF Balanced Fund,45000.0,Interest rate 6-8%,6 years,48000.0
SIP,EcoGrowth SIP,15000.0,Interest rate 12-15%,3 years,19000.0
Mutual Fund,Sunrise Equity Fund,25000.0,Interest rate 10-14%,5 years,38000.0
Stock,Reliance Industries Ltd,2000.0,N/A,1 year,2200.0
Equity,Tech Innovators,10000.0,Interest rate 20-25%,2 years,12500.0
SIP,GreenEnergy SIP,8000.0,Interest rate 13-16%,4 years,11500.0
Mutual Fund,Goldman Bluechip Fund,30000.0,Interest rate 11-13%,6 years,49000.0
Stock,Tata Motors Ltd,3500.0,N/A,1 year,3700.0
Equity,HealthTech Innovators,12000.0,Interest rate 18-22%,3 years,15500.0
SIP,Urban Infrastructure SIP,10000.0,Interest rate 14-17%,5 years,15000.0
Mutual Fund,Vanguard Growth Fund,25000.0,Interest rate 9-12%,4 years,29000.0
