scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
StartUp India Investment Scheme,Government,19-35,All,All,Middle,All India,Supporting startup funding and mentorship,Startup founders with valid business plans,"Seed funding, mentorship, incubation support",Register on official portal with business details,https://startupindia.gov.in/,,,स्टार्टअप भारत निवेश योजना,स्टार्टअप इंडिया गुंतवणूक योजना,स्टार्टअप फंडिंग और मेंटरशिप का समर्थन करना,स्टार्टअप निधी आणि मार्गदर्शनास समर्थन,मान्य व्यावसायिक योजनाओं के साथ स्टार्टअप संस्थापक,वैध व्यवसाय योजनांसह स्टार्टअप संस्थापक,"बीज फंडिंग, मेंटरशिप, इनक्यूबेशन सपोर्ट","बियाणे निधी, मार्गदर्शन, उष्मायन समर्थन",व्यावसायिक विवरण के साथ आधिकारिक पोर्टल पर पंजीकरण करें,व्यवसायाच्या तपशीलांसह अधिकृत पोर्टलवर नोंदणी करा,,,,
Financial Literacy Campaigns by Private Firms,Private,"6-18,19-35,36-60,60+",All,All,All,Urban and Rural India,Raising awareness about financial products and literacy,Open to all residents,"Enhanced financial knowledge, better savings and investment decisions",Participation through community outreach programs or online events,https://finliteracyprivatescheme.com/,,Ongoing,निजी फर्मों द्वारा वित्तीय साक्षरता अभियान,खासगी कंपन्यांद्वारे आर्थिक साक्षरता मोहीम,वित्तीय उत्पादों और साक्षरता के बारे में जागरूकता बढ़ाना,आर्थिक उत्पादने आणि साक्षरतेबद्दल जागरूकता वाढवणे,सभी निवासियों के लिए खुला,सर्व रहिवाशांसाठी उघडा,"बढ़ाया वित्तीय ज्ञान, बेहतर बचत और निवेश निर्णय","वर्धित आर्थिक ज्ञान, चांगले बचत आणि गुंतवणूकीचे निर्णय",सामुदायिक आउटरीच कार्यक्रमों या ऑनलाइन घटनाओं के माध्यम से भागीदारी,समुदाय पोहोच कार्यक्रम किंवा ऑनलाइन कार्यक्रमांद्वारे सहभाग,,,चल रहे,चालू आहे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Opening and Financial Inclusion,Anyone aged 6 and above who is not already banked,"Zero balance accounts, insurance benefits, overdraft facilities",Visit local bank branch or online registration,https://pmjdy.gov.in/,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बैंक खाता उद्घाटन और वित्तीय समावेशन,बँक खाते उघडणे आणि आर्थिक समावेश,6 वर्ष और उससे अधिक आयु का कोई भी व्यक्ति जो पहले से ही नहीं है,6 आणि त्यापेक्षा जास्त वयाचा कोणीही जो आधीपासूनच बँक नाही,"शून्य शेष खाता, बीमा लाभ, ओवरड्राफ्ट सुविधा","शून्य शिल्लक खाते, विमा लाभ, ओव्हरड्राफ्ट सुविधा",स्थानीय बैंक शाखा या ऑनलाइन पंजीकरण पर जाएँ,स्थानिक बँक शाखा किंवा ऑनलाइन नोंदणीला भेट द्या,,,जीवनभर,आजीवन
Vishesh Shiksha Loan Scheme,Private,19-35,All,OBC,Middle,Urban,Education Loan for Higher Studies,Candidates with admission letter to recognized institutions,"Low interest rates, flexible repayment options",Apply online through partner bank portals,https://visheshshiksha.in/,Interest rate 7-9%,Up to 10 years,Vishesh Shiksha Loan Scheme,विशेष शिक्षण कर्ज योजना,उच्च अध्ययन के लिए शिक्षा ऋण,उच्च अभ्यासासाठी शिक्षण कर्ज,मान्यता प्राप्त संस्थानों में प्रवेश पत्र के साथ उम्मीदवार,मान्यताप्राप्त संस्थांना प्रवेश पत्र असलेले उमेदवार,"कम ब्याज दर, लचीली पुनर्भुगतान विकल्प","कमी व्याज दर, लवचिक परतफेड पर्याय",पार्टनर बैंक पोर्टल्स के माध्यम से ऑनलाइन आवेदन करें,भागीदार बँक पोर्टलद्वारे ऑनलाइन अर्ज करा,ब्याज दर 7-9%,व्याज दर 7-9%,10 साल तक,10 वर्षांपर्यंत
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child girl education and marriage fund,Parents or guardians of girl children under 10,"Tax benefits, compound interest, financial security for girl child",Open account at designated bank branches or post offices,https://sukanyayojana.com/,Approx. 8% interest compounded annually,Lifetime till girl turns 21,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बाल लड़की शिक्षा और विवाह निधि,बाल मुलगी शिक्षण आणि विवाह निधी,10 वर्ष से कम उम्र के लड़की बच्चों के माता -पिता या संरक्षक,पालक किंवा 10 वर्षाखालील मुलींचे पालक,"कर लाभ, चक्रवृद्धि ब्याज, लड़की बच्चे के लिए वित्तीय सुरक्षा","कर लाभ, कंपाऊंड इंटरेस्ट, मुली मुलासाठी आर्थिक सुरक्षा",निर्दिष्ट बैंक शाखाओं या डाकघरों में खाता खोलें,नियुक्त बँक शाखा किंवा पोस्ट ऑफिसवर ओपन खाते,लगभग।8% ब्याज सालाना,अंदाजे.वर्षाकाठी 8% व्याज वाढवले जाते,जीवनकाल तक लड़की 21 साल की हो गई,मुलगी 21 वर्षांची होईपर्यंत आजीवन
Microcredit for Rural Entrepreneurs,Private,19-60,Male,OBC,Below Poverty Line,Rural Areas,Microcredit for Small Business Development,Rural residents with viable business plan,"Access to small loans, financial training, market linkage",Application through local microfinance institutions,https://microcreditrural.in/,Interest rate 10-12%,1-5 years,ग्रामीण उद्यमियों के लिए microcredit,ग्रामीण उद्योजकांसाठी मायक्रोक्रेडिट,लघु व्यवसाय विकास के लिए microcredit,लघु व्यवसाय विकासासाठी मायक्रोक्रेडिट,व्यवहार्य व्यवसाय योजना के साथ ग्रामीण निवासी,व्यवहार्य व्यवसाय योजना असलेले ग्रामीण रहिवासी,"छोटे ऋण, वित्तीय प्रशिक्षण, बाजार लिंकेज तक पहुंच","लहान कर्ज, आर्थिक प्रशिक्षण, बाजार दुवा साधणे",स्थानीय माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन,स्थानिक मायक्रोफायनान्स संस्थांद्वारे अर्ज,ब्याज दर 10-12%,व्याज दर 10-12%,1-5 साल,1-5 वर्षे
National Pension System (NPS),Government,36-60,All,All,Middle,All India,Retirement savings and pension,All Indian citizens aged 18-60,"Tax benefits, market-linked returns, flexible contribution",Register online or through authorized financial advisors,https://npscra.nsdl.co.in/,"Varies, typically 8-10% depending on market conditions",Lifetime till death,राष्ट्रीय पेंशन प्रणाली,राष्ट्रीय पेन्शन सिस्टम (एनपीएस),सेवानिवृत्ति बचत और पेंशन,सेवानिवृत्तीची बचत आणि पेन्शन,18-60 वर्ष की आयु के सभी भारतीय नागरिक,18-60 वयोगटातील सर्व भारतीय नागरिक,"कर लाभ, बाजार से जुड़े रिटर्न, लचीला योगदान","कर बेनिफिट्स, मार्केट-लिंक्ड रिटर्न्स, लवचिक योगदान",ऑनलाइन या अधिकृत वित्तीय सलाहकारों के माध्यम से पंजीकरण करें,ऑनलाईन किंवा अधिकृत आर्थिक सल्लागारांद्वारे नोंदणी करा,"भिन्न होता है, आमतौर पर बाजार की स्थितियों के आधार पर 8-10%",बाजारातील परिस्थितीनुसार सामान्यत: 8-10% बदलतात,जीवनकाल तक मृत्यु तक,मृत्यूपर्यंत आजीवन
Financial Literacy Campaigns,Government,All,All,All,All,All Regions,Promoting financial literacy and awareness,Open to all citizens,"Increased awareness, better financial decision making, empowerment",Participate through local government programs or online campaigns,https://financialliteracy.gov.in/,,Ongoing,वित्तीय साक्षरता अभियान,आर्थिक साक्षरता मोहीम,वित्तीय साक्षरता और जागरूकता को बढ़ावा देना,आर्थिक साक्षरता आणि जागरूकता वाढवित आहे,सभी नागरिकों के लिए खुला,सर्व नागरिकांसाठी खुला,"बढ़ी हुई जागरूकता, बेहतर वित्तीय निर्णय लेना, सशक्तिकरण","जागरूकता, चांगले आर्थिक निर्णय घेणे, सबलीकरण",स्थानीय सरकारी कार्यक्रमों या ऑनलाइन अभियानों के माध्यम से भाग लें,स्थानिक सरकारी कार्यक्रम किंवा ऑनलाइन मोहिमेद्वारे भाग घ्या,,,चल रहे,चालू आहे
Prime Minister Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Savings and Banking Access,Open to all citizens with valid ID proof,"Zero balance accounts, accident insurance, and financial literacy programs",Visit nearest bank branch or online portal and fill out application form,https://pmjdy.gov.in,,Lifetime,Prime Minister Jan Dhan Yojana,पंतप्रधान जान धन योजना,बचत और बैंकिंग पहुंच,बचत आणि बँकिंग प्रवेश,मान्य आईडी प्रूफ वाले सभी नागरिकों के लिए खुला,वैध आयडी पुरावा असलेल्या सर्व नागरिकांसाठी खुला,"शून्य शेष खाते, दुर्घटना बीमा और वित्तीय साक्षरता कार्यक्रम","शून्य शिल्लक खाती, अपघात विमा आणि आर्थिक साक्षरता कार्यक्रम",निकटतम बैंक शाखा या ऑनलाइन पोर्टल पर जाएं और आवेदन पत्र भरें,जवळची बँक शाखा किंवा ऑनलाइन पोर्टलला भेट द्या आणि अर्ज भरा,,,जीवनभर,आजीवन
Mahila Microcredit Scheme,Government,19-35,Female,OBC,Below Poverty Line,Rural Areas of Bihar,Microcredit for women entrepreneurs,"Women aged 19-35, owning small businesses or aspiring entrepreneurs","Low-interest microloans, business training, and mentorship","Online or at local rural development offices, submitting business plan and ID proof",https://bihar.gov.in/microcredit,"Interest rate 8% per annum, repayable in monthly installments over 3 years",3 years,माहिला माइक्रोक्रेडिट स्कीम,माहिला मायक्रोक्रेडिट योजना,महिला उद्यमियों के लिए microcredit,महिला उद्योजकांसाठी मायक्रोक्रेडिट,"19-35 वर्ष की आयु की महिलाएं, छोटे व्यवसायों या आकांक्षी उद्यमियों की मालिक हैं","१ -3--35 वर्षे वयोगटातील स्त्रिया, लहान व्यवसाय किंवा इच्छुक उद्योजकांचे मालक आहेत","कम-ब्याज वाले माइक्रोलोन, व्यावसायिक प्रशिक्षण और मेंटरशिप","कमी व्याज मायक्रोलोन्स, व्यवसाय प्रशिक्षण आणि मार्गदर्शन","ऑनलाइन या स्थानीय ग्रामीण विकास कार्यालयों में, व्यवसाय योजना और आईडी प्रमाण प्रस्तुत करना","ऑनलाइन किंवा स्थानिक ग्रामीण विकास कार्यालयांमध्ये, व्यवसाय योजना आणि आयडी पुरावा सबमिट करणे","ब्याज दर 8% प्रति वर्ष, 3 वर्षों में मासिक किस्तों में चुकाने योग्य","वर्षाकाठी 8% व्याज दर, 3 वर्षात मासिक हप्त्यांमध्ये परतफेड करण्यायोग्य",3 वर्ष,3 वर्षे
Retirement Pension Scheme for Senior Citizens,Government,60+,All,All,Middle,Urban and Rural India,Pension for senior citizens,Indian citizens above 60 with annual income below 2 lakh INR,"Monthly pension of 2000 INR, healthcare benefits","Register online or at local government offices, submit age and income proof",https://pension.gov.in,,Lifetime,वरिष्ठ नागरिकों के लिए सेवानिवृत्ति पेंशन योजना,ज्येष्ठ नागरिकांसाठी सेवानिवृत्ती पेन्शन योजना,वरिष्ठ नागरिकों के लिए पेंशन,ज्येष्ठ नागरिकांसाठी पेन्शन,भारतीय नागरिक 60 से ऊपर की वार्षिक आय 2 लाख से नीचे के साथ हैं,भारतीय नागरिक 60 वर्षांपेक्षा जास्त वयाचे वार्षिक उत्पन्न 2 लाखांपेक्षा कमी,"2000 INR की मासिक पेंशन, स्वास्थ्य लाभ लाभ","2000 आयएनआरचे मासिक पेन्शन, हेल्थकेअर फायदे","ऑनलाइन या स्थानीय सरकारी कार्यालयों में पंजीकरण करें, आयु और आय प्रमाण जमा करें","ऑनलाईन किंवा स्थानिक सरकारी कार्यालयांमध्ये नोंदणी करा, वय आणि उत्पन्न पुरावा सबमिट करा",,,जीवनभर,आजीवन
Private Health Savings Plan,Private,36-60,All,All,Upper,All Urban Areas,Health insurance and savings,Individuals aged 36-60 with stable income,"Tax benefits, comprehensive health coverage, flexible saving options","Online registration through company portal, upload ID and income proof",https://privatesavings.com/health,"Interest rate 5%, or N/A if linked to insurance benefits",,निजी स्वास्थ्य बचत योजना,खाजगी आरोग्य बचत योजना,स्वास्थ्य बीमा और बचत,आरोग्य विमा आणि बचत,स्थिर आय के साथ 36-60 वर्ष की आयु के व्यक्ति,स्थिर उत्पन्नासह 36-60 वयोगटातील व्यक्ती,"कर लाभ, व्यापक स्वास्थ्य कवरेज, लचीला बचत विकल्प","कर लाभ, सर्वसमावेशक आरोग्य कव्हरेज, लवचिक बचत पर्याय","कंपनी पोर्टल, अपलोड आईडी और आय प्रमाण के माध्यम से ऑनलाइन पंजीकरण","कंपनी पोर्टल, अपलोड आयडी आणि इन्कम प्रूफद्वारे ऑनलाईन नोंदणी","ब्याज दर 5%, या एन/ए यदि बीमा लाभों से जुड़ा हुआ है","व्याज दर 5%, किंवा एन/ए जर विमा लाभांशी दुवा साधला असेल तर",,
Youth Financial Literacy Program,Government,6-18,All,All,All,All India,Financial literacy education for youth,"Students aged 6-18, enrolled in schools","Educational resources, workshops, online modules",School registration and participation in programs,https://finlit.gov.in,,Ongoing,युवा वित्तीय साक्षरता कार्यक्रम,युवा आर्थिक साक्षरता कार्यक्रम,युवाओं के लिए वित्तीय साक्षरता शिक्षा,तरुणांसाठी आर्थिक साक्षरता शिक्षण,"6-18 वर्ष की आयु के छात्र, स्कूलों में दाखिला लेते हैं",6-18 वयोगटातील विद्यार्थ्यांनी शाळांमध्ये प्रवेश घेतला,"शैक्षिक संसाधन, कार्यशालाएं, ऑनलाइन मॉड्यूल","शैक्षणिक संसाधने, कार्यशाळा, ऑनलाइन मॉड्यूल",स्कूल पंजीकरण और कार्यक्रमों में भागीदारी,शालेय नोंदणी आणि कार्यक्रमांमध्ये सहभाग,,,चल रहे,चालू आहे
Urban Self-Employment Fund,Private,19-35,All,General,Middle,Urban India,Support for self-employment and entrepreneurship,Young adults aged 19-35 with viable business ideas,"Seed funding, mentorship, training programs","Online application with business plan submission, interview process",https://urbanentrepreneurship.com,N/A or profit sharing arrangements,5 years,शहरी स्वरोजगार निधि,शहरी स्वयंरोजगार निधी,स्वरोजगार और उद्यमिता के लिए समर्थन,स्वयंरोजगार आणि उद्योजकतेसाठी समर्थन,व्यवहार्य व्यावसायिक विचारों के साथ 19-35 वर्ष की आयु के युवा वयस्क,व्यवहार्य व्यवसाय कल्पनांसह 19-35 वयोगटातील तरुण प्रौढ,"बीज वित्त पोषण, मेंटरशिप, प्रशिक्षण कार्यक्रम","बियाणे निधी, मार्गदर्शन, प्रशिक्षण कार्यक्रम","व्यापार योजना सबमिशन, साक्षात्कार प्रक्रिया के साथ ऑनलाइन आवेदन","व्यवसाय योजना सबमिशन, मुलाखत प्रक्रिया सह ऑनलाइन अर्ज",एन/ए या लाभ साझा करने की व्यवस्था,एन/ए किंवा नफा सामायिकरण व्यवस्था,5 साल,5 वर्षे
Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,"Bank Account Access, Financial Literacy",Open to all Indian residents with basic identity proof,"Free zero-balance accounts, insurance covers, overdraft facilities",Visit authorized bank branches or online portal with identity proof,https://financialservices.gov.in/jandhan,,Lifetime,Jan Dhan Yojana,जान धन योजना,"बैंक खाता पहुंच, वित्तीय साक्षरता","बँक खात्यात प्रवेश, आर्थिक साक्षरता",बुनियादी पहचान प्रमाण के साथ सभी भारतीय निवासियों के लिए खुला,मूलभूत ओळख पुरावा असलेल्या सर्व भारतीय रहिवाशांसाठी खुला,"नि: शुल्क शून्य-संतुलन खाते, बीमा कवर, ओवरड्राफ्ट सुविधाएं","विनामूल्य शून्य-बॅलन्स खाती, विमा कव्हर, ओव्हरड्राफ्ट सुविधा",पहचान प्रमाण के साथ अधिकृत बैंक शाखाओं या ऑनलाइन पोर्टल पर जाएं,ओळख पुराव्यासह अधिकृत बँक शाखा किंवा ऑनलाइन पोर्टलला भेट द्या,,,जीवनभर,आजीवन
Microcredit Plus,Private,19-35,All,OBC,Below Poverty Line,Rural Areas,Microcredit for Small Businesses,Individuals with small business idea or existing micro-entrepreneurship,"Low-interest microloans, business training, mentorship",Online application or local microfinance institutions,https://microfinanceplus.in,Interest rate 12-15% annually,1-5 years,माइक्रोक्रेडिट प्लस,मायक्रोक्रेडिट प्लस,छोटे व्यवसायों के लिए microcredit,छोट्या व्यवसायांसाठी मायक्रोक्रेडिट,छोटे व्यवसाय विचार या मौजूदा सूक्ष्म-उद्यमशीलता वाले व्यक्ति,लहान व्यवसाय कल्पना किंवा विद्यमान मायक्रो-एन्ट्रीप्रेनरशिप असलेल्या व्यक्ती,"कम-ब्याज माइक्रोलोन, व्यवसाय प्रशिक्षण, मेंटरशिप","कमी व्याज मायक्रोलोन्स, व्यवसाय प्रशिक्षण, मार्गदर्शन",ऑनलाइन आवेदन या स्थानीय माइक्रोफाइनेंस संस्थान,ऑनलाइन अनुप्रयोग किंवा स्थानिक मायक्रोफायनान्स संस्था,ब्याज दर 12-15% सालाना,व्याज दर दरवर्षी 12-15%,1-5 साल,1-5 वर्षे
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Education and Marriage Savings,Parents or guardians of girl children below 10 years,"Interest on deposits, tax benefits, maturity amount for girl child's future",Visit bank branch or online portal with child's birth proof,https://sukanya-samriddhi.gov.in,Interest rate 7-8% per annum,15-21 years,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बाल शिक्षा और विवाह बचत,बाल शिक्षण आणि विवाह बचत,10 साल से कम उम्र के बच्चों के माता -पिता या अभिभावक,पालक किंवा 10 वर्षांखालील मुलींचे पालक,"GILL चाइल्ड के भविष्य के लिए जमा, कर लाभ, परिपक्वता राशि पर ब्याज","मुलींच्या भविष्यासाठी ठेवी, कर लाभ, परिपक्वता रक्कम यावर व्याज",बच्चे के जन्म प्रमाण के साथ बैंक शाखा या ऑनलाइन पोर्टल पर जाएं,मुलाच्या जन्माच्या पुराव्यासह बँक शाखा किंवा ऑनलाइन पोर्टलला भेट द्या,ब्याज दर 7-8% प्रति वर्ष,वर्षाकाठी व्याज दर 7-8%,15-21 वर्ष,15-21 वर्षे
