scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
Start-up Incubation Support,Private,19-35,All,All,Middle,Telangana,Entrepreneurship and Innovation,Start-ups and entrepreneurs,"Funding, mentorship, and infrastructure support",Online application through official portal,http://startup.in,Annual return 4-6%,,,,स्टार्ट-अप ऊष्मायन समर्थन,स्टार्ट-अप इनक्युबेशन समर्थन,उद्यमशीलता और नवाचार,उद्योजकता आणि नाविन्य,स्टार्ट-अप और उद्यमी,स्टार्ट-अप आणि उद्योजक,"फंडिंग, मेंटरशिप और इन्फ्रास्ट्रक्चर सपोर्ट","निधी, मार्गदर्शन आणि पायाभूत सुविधा समर्थन",आधिकारिक पोर्टल के माध्यम से ऑनलाइन आवेदन,अधिकृत पोर्टलद्वारे ऑनलाइन अर्ज,ब्याज दर 6-8%,व्याज दर 6-8%,,
Agricultural Insurance Scheme,Government,19-60,All,All,All,Punjab,Insurance,Farmers and agricultural workers,Crop loss coverage and compensation,File claim at local agriculture office,http://agriinsurance.gov.in,Annual return 6-9%,,Premiums vary,Annual,कृषि बीमा योजना,कृषी विमा योजना,बीमा,विमा,किसान और कृषि कार्यकर्ता,शेतकरी आणि कृषी कामगार,फसल हानि कवरेज और मुआवजा,पीक तोटा कव्हरेज आणि भरपाई,स्थानीय कृषि कार्यालय में फाइल का दावा,स्थानिक कृषी कार्यालयात दावा दाखल करा,वार्षिक रिटर्न 4-6%,व्याज दर 5-8%,,
Health Coverage for Low-Income Families,Government,"0-5,6-18,19-35,36-60,60+",All,All,Below Poverty Line,Western India,Health Insurance,Low-income families,Free or subsidized health services,Register at local health centers,http://healthcoverage.gov.in,Interest rate 7-10%,,,,कम आय वाले परिवारों के लिए स्वास्थ्य कवरेज,कमी उत्पन्न असलेल्या कुटुंबांसाठी आरोग्य कव्हरेज,स्वास्थ्य बीमा,आरोग्य विमा,कम आय वाले परिवार,कमी उत्पन्न असलेली कुटुंबे,नि: शुल्क या सब्सिडी वाली स्वास्थ्य सेवाएं,विनामूल्य किंवा अनुदानित आरोग्य सेवा,स्थानीय स्वास्थ्य केंद्रों पर पंजीकरण करें,स्थानिक आरोग्य केंद्रांवर नोंदणी करा,ब्याज दर 5-8%,व्याज दर 10-15%,,
Private Investment in Rural Banking,Private,36-60,All,All,Upper,Chhattisgarh,Banking and Investment,Private investors,Enhanced rural banking infrastructure,Direct investment or partnership,http://ruralbankinvestment.org.in,Interest rate 8-10%,2 years,Varies by investment,,ग्रामीण बैंकिंग में निजी निवेश,ग्रामीण बँकिंगमधील खासगी गुंतवणूक,बैंकिंग और निवेश,बँकिंग आणि गुंतवणूक,निजी निवेशक,खाजगी गुंतवणूकदार,बढ़ाया ग्रामीण बैंकिंग अवसंरचना,वर्धित ग्रामीण बँकिंग पायाभूत सुविधा,प्रत्यक्ष निवेश या साझेदारी,थेट गुंतवणूक किंवा भागीदारी,ब्याज दर 8-10%,व्याज दर 8-10%,2 साल,2 वर्षे
Skill Development Initiative for Youth,Government,19-35,All,All,All,Gujarat,Skill Development,Youth seeking employment or skill upgrade,Training and certification support,Online registration or local centers,http://skills.gov.in,Annual return 5-7%,6 months to 2 years,,,युवाओं के लिए कौशल विकास पहल,तरुणांसाठी कौशल्य विकास उपक्रम,कौशल विकास,कौशल्य विकास,रोजगार या कौशल उन्नयन की मांग करने वाले युवा,रोजगार किंवा कौशल्य अपग्रेड शोधत असलेले तरुण,प्रशिक्षण और प्रमाणन समर्थन,प्रशिक्षण आणि प्रमाणपत्र समर्थन,ऑनलाइन पंजीकरण या स्थानीय केंद्र,ऑनलाइन नोंदणी किंवा स्थानिक केंद्रे,ब्याज दर 8-12%,व्याज दर 9-13%,6 महीने से 2 साल तक,6 महिने ते 2 वर्षे
Urban Microfinance Program,Private,19-60,All,All,Middle,Madhya Pradesh,Microcredit,Urban micro-entrepreneurs,Small loans for business expansion,Apply through microfinance institutions,http://urbanmicrofinance.org.in,Interest rate 12-15%,3 years,Up to 3 lakh INR,Monthly,शहरी माइक्रोफाइनेंस प्रोग्राम,शहरी मायक्रोफायनान्स प्रोग्राम,माइक्रोक्रेडिट,मायक्रोक्रेडिट,शहरी सूक्ष्म उद्यमियों,शहरी मायक्रो-एन्ट्रीप्रेनर्स,व्यापार विस्तार के लिए छोटे ऋण,व्यवसाय विस्तारासाठी लहान कर्ज,माइक्रोफाइनेंस संस्थानों के माध्यम से लागू करें,मायक्रोफायनान्स संस्थांद्वारे अर्ज करा,ब्याज दर 12-15%,व्याज दर 12-15%,3 वर्ष,3 वर्षे
Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,Kerala,Savings and Financial Inclusion,All Indian citizens above 10 years of age with valid identity proof,"Zero balance accounts, insurance, and debit cards",Visit nearby bank branch or KYC online,https://www.pmjdy.gov.in,Annual return 5-7%,Lifetime,,,Jan Dhan Yojana,जान धन योजना,बचत और वित्तीय समावेश,बचत आणि आर्थिक समावेश,वैध पहचान प्रमाण के साथ 10 वर्ष से अधिक आयु के सभी भारतीय नागरिक,वैध ओळख पुराव्यासह 10 वर्षांपेक्षा जास्त वयाच्या सर्व भारतीय नागरिकांना,"शून्य बैलेंस अकाउंट्स, इंश्योरेंस और डेबिट कार्ड","शून्य शिल्लक खाती, विमा आणि डेबिट कार्ड",पास के बैंक शाखा या KYC ऑनलाइन पर जाएं,जवळपासची बँक शाखा किंवा केवायसी ऑनलाईन भेट द्या,ब्याज दर 8-12%,व्याज दर 7-10%,जीवनभर,आजीवन
Pradhan Mantri Awas Yojana,Government,36-60,All,All,Middle,Bihar,Housing for All,"EWS, LIG, MIG categories, with income proof",Subsidized loans and financial assistance for housing,Apply through local government offices or online portal,https://www.mohua.gov.in,Annual return 5-7%,Up to 20 years,Subsidized interest rates,Monthly,Pradhan Mantri Awas Yojana,पंतप्रधान गृहनिर्माण योजना,सभी के लिए आवास,सर्वांसाठी घरे,"आय प्रमाण के साथ EWS, LIG, MIG श्रेणियां","उत्पन्नाच्या पुराव्यासह ईडब्ल्यूएस, लिग, एमआयजी श्रेण्या",सब्सिडी वाले ऋण और आवास के लिए वित्तीय सहायता,गृहनिर्माण कर्ज आणि आर्थिक सहाय्य,स्थानीय सरकारी कार्यालयों या ऑनलाइन पोर्टल के माध्यम से आवेदन करें,स्थानिक सरकारी कार्यालये किंवा ऑनलाइन पोर्टलद्वारे अर्ज करा,वार्षिक रिटर्न 5-7%,व्याज दर 10-15%,20 साल तक,20 वर्षांपर्यंत
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,Bihar,Child Education and Marriage Fund,Parents or guardians of girl child,"Tax benefits, high interest rate, maturity benefits",Open account at designated bank or post office,https://sukanyayojana.com,Interest rate 7.6% p.a.,Until girl turns 21 or 18 for marriage,Minimum Rs.250/year,Yearly,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बाल शिक्षा और विवाह निधि,बाल शिक्षण आणि विवाह निधी,लड़की के माता -पिता या अभिभावक बच्चे,पालक किंवा मुलगी मुलाचे पालक,"कर लाभ, उच्च ब्याज दर, परिपक्वता लाभ","कर लाभ, उच्च व्याज दर, परिपक्वता लाभ",निर्दिष्ट बैंक या डाकघर में खाता खुला,नियुक्त बँक किंवा पोस्ट ऑफिसवर ओपन खाते,ब्याज दर 7.6% पी.ए.,व्याज दर 7.6% पी.ए.,जब तक लड़की शादी के लिए 21 या 18 साल की हो जाती है,जोपर्यंत मुलगी लग्नासाठी 21 किंवा 18 वर्षांची होत नाही
Apna Digital Saksharta Abhiyan,Government,All,All,All,All,Assam,Digital Literacy,All citizens above 14 years of age,"Digital skills training, internet access points",Register at local Digital Literacy centers,https://digitalliteracy.gov.in,Annual return 4-6%,3 months to 1 year,,,Apna Digital Saksharta Abhiyan,आपली डिजिटल साक्षरता मोहीम,अंकीय साक्षरता,डिजिटल साक्षरता,14 वर्ष से अधिक आयु के सभी नागरिक,14 वर्षांपेक्षा जास्त वयाचे सर्व नागरिक,"डिजिटल कौशल प्रशिक्षण, इंटरनेट एक्सेस पॉइंट्स","डिजिटल कौशल्य प्रशिक्षण, इंटरनेट प्रवेश गुण",स्थानीय डिजिटल साक्षरता केंद्रों पर पंजीकरण करें,स्थानिक डिजिटल साक्षरता केंद्रांवर नोंदणी करा,ब्याज दर 9-13%,व्याज दर 7-10%,3 महीने से 1 वर्ष तक,3 महिने ते 1 वर्ष
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Chhattisgarh,Microcredit for Women Entrepreneurs,Women with business plan or small enterprise,"Low-interest microloans, skill development support",Application at local microfinance institutions or online,https://microfinance.org.in,Interest rates 12-15% p.a.,1-3 years,Monthly installments,Monthly,महिलाओं के लिए माइक्रोफाइनेंस,महिलांसाठी मायक्रोफायनान्स,महिला उद्यमियों के लिए microcredit,महिला उद्योजकांसाठी मायक्रोक्रेडिट,व्यवसाय योजना या छोटे उद्यम वाली महिलाएं,व्यवसाय योजना किंवा लहान उपक्रम असलेल्या महिला,"कम-ब्याज वाले माइक्रोलोन, कौशल विकास सहायता","कमी व्याज मायक्रोलोन्स, कौशल्य विकास समर्थन",स्थानीय माइक्रोफाइनेंस संस्थानों या ऑनलाइन पर आवेदन,स्थानिक मायक्रोफायनान्स संस्था किंवा ऑनलाइन येथे अर्ज,ब्याज दरें 12-15% पी.ए.,व्याज दर 12-15% पी.ए.,1-3 साल,1-3 वर्षे
Private Health Insurance Plan,Private,All,All,All,Middle,Jammu & Kashmir,Health Coverage and Insurance,All residents with valid identity proof,"Cashless treatment, wide network hospitals",Apply online or via insurance agents,https://privatehealthinsurance.com,Annual return 6-9%,1 year renewal,Rs.5000-Rs.20000 annually,Annual,निजी स्वास्थ्य बीमा योजना,खाजगी आरोग्य विमा योजना,स्वास्थ्य कवरेज और बीमा,आरोग्य कव्हरेज आणि विमा,मान्य पहचान प्रमाण वाले सभी निवासी,वैध ओळख पुरावा असलेले सर्व रहिवासी,"कैशलेस उपचार, व्यापक नेटवर्क अस्पताल","कॅशलेस ट्रीटमेंट, वाइड नेटवर्क हॉस्पिटल",ऑनलाइन या बीमा एजेंटों के माध्यम से आवेदन करें,ऑनलाईन किंवा विमा एजंट्सद्वारे अर्ज करा,ब्याज दर 8-12%,वार्षिक परतावा 6-9%,1 वर्ष का नवीकरण,1 वर्षाचे नूतनीकरण
Rural Savings and Credit Scheme,Government,36-60,All,All,Below Poverty Line,Bihar,Savings and Microcredit,"Rural residents, small farmers, artisans","Microfinance, savings accounts, financial literacy sessions",Visit local bank branch or cooperative society,https://ruralsavings.gov.in,Interest rate 4-6% p.a.,5 years,,Quarterly,ग्रामीण बचत और ऋण योजना,ग्रामीण बचत आणि पत योजना,बचत और माइक्रोक्रेडिट,बचत आणि मायक्रोक्रेडिट,"ग्रामीण निवासी, छोटे किसान, कारीगर","ग्रामीण रहिवासी, लहान शेतकरी, कारागीर","माइक्रोफाइनेंस, बचत खाते, वित्तीय साक्षरता सत्र","मायक्रोफायनान्स, बचत खाती, आर्थिक साक्षरता सत्र",स्थानीय बैंक शाखा या सहकारी सोसाइटी पर जाएं,स्थानिक बँक शाखा किंवा सहकारी सोसायटीला भेट द्या,ब्याज दर 4-6% पी.ए.,व्याज दर 4-6% पी.ए.,5 साल,5 वर्षे
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,Eastern India,Pension for Senior Citizens,Citizens above 60 with minimum pension proof,"Monthly pension, healthcare discounts",Apply at local government offices or online,https://seniorscheme.gov.in,Interest rate 6-8%,Lifetime,Varies by scheme,Monthly,वरिष्ठ नागरिक पेंशन योजना,ज्येष्ठ नागरिक पेन्शन योजना,वरिष्ठ नागरिकों के लिए पेंशन,ज्येष्ठ नागरिकांसाठी पेन्शन,न्यूनतम पेंशन प्रूफ के साथ 60 से ऊपर के नागरिक,किमान पेन्शन पुराव्यासह 60 वर्षांपेक्षा जास्त नागरिक,"मासिक पेंशन, स्वास्थ्य सेवा छूट","मासिक पेन्शन, आरोग्यसेवा सूट",स्थानीय सरकारी कार्यालयों या ऑनलाइन पर आवेदन करें,स्थानिक सरकारी कार्यालयांमध्ये किंवा ऑनलाइन अर्ज करा,ब्याज दर 7-10%,व्याज दर 5-8%,जीवनभर,आजीवन
Smart Start Business Fund,Private,19-45,All,OBC,Upper,Madhya Pradesh,Startup Funding and Support,Young entrepreneurs with innovative business ideas,"Seed funding, mentorship, networking opportunities",Online application through portal or business incubators,https://smartstartbiz.com,Interest rate 10-15%,3-5 years,"N/A for grants, or as per loan agreement",,स्मार्ट स्टार्ट बिजनेस फंड,स्मार्ट प्रारंभ व्यवसाय निधी,स्टार्टअप फंडिंग और समर्थन,स्टार्टअप निधी आणि समर्थन,नवीन व्यावसायिक विचारों के साथ युवा उद्यमी,नाविन्यपूर्ण व्यवसाय कल्पनांसह तरुण उद्योजक,"बीज फंडिंग, मेंटरशिप, नेटवर्किंग के अवसर","बियाणे निधी, मार्गदर्शन, नेटवर्किंग संधी",पोर्टल या बिजनेस इनक्यूबेटर्स के माध्यम से ऑनलाइन आवेदन,पोर्टल किंवा व्यवसाय इनक्यूबेटरद्वारे ऑनलाइन अनुप्रयोग,ब्याज दर 9-13%,व्याज दर 9-13%,3-5 साल,3-5 वर्षे
Financial Literacy for Students,Government,6-18,All,All,All,Jammu & Kashmir,Financial Literacy and Education,School students across India,"Curriculum-based financial education, workshops","School registration, then student participation",https://financialliteracy.gov.in,Annual return 5-7%,Ongoing,,,छात्रों के लिए वित्तीय साक्षरता,विद्यार्थ्यांसाठी आर्थिक साक्षरता,वित्तीय साक्षरता और शिक्षा,आर्थिक साक्षरता आणि शिक्षण,पूरे भारत में स्कूल के छात्र,भारतभरातील शालेय विद्यार्थी,"पाठ्यक्रम-आधारित वित्तीय शिक्षा, कार्यशालाएं","अभ्यासक्रम-आधारित आर्थिक शिक्षण, कार्यशाळा","स्कूल पंजीकरण, फिर छात्र भागीदारी","शालेय नोंदणी, त्यानंतर विद्यार्थ्यांचा सहभाग",ब्याज दर 5-8%,वार्षिक परतावा 4-6%,चल रहे,चालू आहे
Venture Capital Support Program,Private,25-45,All,All,Upper,Madhya Pradesh,Venture Capital Funding,Startups with innovative ideas and business plans,"Equity funding, mentorship, networking",Apply through the official portal or incubators,https://venturecapital.in,Equity stake or returns as per investment terms,5-7 years,N/A for equity investors,,उद्यम पूंजी सहायता कार्यक्रम,व्हेंचर कॅपिटल सपोर्ट प्रोग्राम,उद्यम पूंजी वित्त पोषण,व्हेंचर कॅपिटल फंडिंग,अभिनव विचारों और व्यावसायिक योजनाओं के साथ स्टार्टअप,नाविन्यपूर्ण कल्पना आणि व्यवसाय योजनांसह स्टार्टअप्स,"इक्विटी फंडिंग, मेंटरशिप, नेटवर्किंग","इक्विटी फंडिंग, मेंटर्सशिप, नेटवर्किंग",आधिकारिक पोर्टल या इनक्यूबेटर के माध्यम से आवेदन करें,अधिकृत पोर्टल किंवा इनक्यूबेटरद्वारे अर्ज करा,निवेश की शर्तों के अनुसार इक्विटी हिस्सेदारी या रिटर्न,गुंतवणूकीच्या अटींनुसार इक्विटी हिस्सा किंवा परतावा,5-7 साल,5-7 वर्षे
Apna Rozgar Yojana,Government,19-35,All,All,Middle,South India,Employment Generation and Skill Development,Unemployed youth with skill training certificates,"Job placement assistance, skill development, stipend support",Register at local employment offices or online,https://apnarozgar.gov.in,Interest rate 6-8%,1-3 years,,,Apna Rozgar Yojana,आपली रोजगार योजना,रोजगार सृजन और कौशल विकास,रोजगार निर्मिती आणि कौशल्य विकास,कौशल प्रशिक्षण प्रमाण पत्र के साथ बेरोजगार युवा,कौशल्य प्रशिक्षण प्रमाणपत्रे असलेले बेरोजगार तरुण,"नौकरी प्लेसमेंट सहायता, कौशल विकास, वजीफा समर्थन","जॉब प्लेसमेंट सहाय्य, कौशल्य विकास, स्टायपेंड समर्थन",स्थानीय रोजगार कार्यालयों या ऑनलाइन में पंजीकरण करें,स्थानिक रोजगार कार्यालयांमध्ये किंवा ऑनलाइन नोंदणी करा,ब्याज दर 8-12%,वार्षिक परतावा 5-7%,1-3 साल,1-3 वर्षे
Financial Inclusion via Digital Payments,Government,All,All,All,All,Jharkhand,Promote Digital Payments and Transactions,All citizens with bank accounts or mobile wallets,"Cashback offers, easy transfer, transaction security",Link bank account or mobile wallet to the scheme app or portal,https://digitalpayments.gov.in,Interest rate 5-8%,Ongoing,,,डिजिटल भुगतान के माध्यम से वित्तीय समावेश,डिजिटल पेमेंट्सद्वारे आर्थिक समावेश,डिजिटल भुगतान और लेनदेन को बढ़ावा देना,डिजिटल पेमेंट्स आणि व्यवहारांना प्रोत्साहन द्या,बैंक खाते या मोबाइल वॉलेट वाले सभी नागरिक,बँक खाती किंवा मोबाइल वॉलेट्स असलेले सर्व नागरिक,"कैशबैक ऑफ़र, आसान हस्तांतरण, लेनदेन सुरक्षा","कॅशबॅक ऑफर, सुलभ हस्तांतरण, व्यवहार सुरक्षा",स्कीम ऐप या पोर्टल के लिए लिंक बैंक खाता या मोबाइल वॉलेट,स्कीम अ‍ॅप किंवा पोर्टलवर बँक खाते किंवा मोबाइल वॉलेट लिंक करा,ब्याज दर 9-13%,व्याज दर 8-12%,चल रहे,चालू आहे
Skill Development and Training for Youth,Government,19-35,All,All,Middle,West Bengal,Skill Enhancement and Employment,Unemployed youth with basic education,"Skill certifications, job placements, stipend support",Apply through designated training centers or online,https://skilldevelopment.gov.in,Interest rate 5-8%,6 months to 2 years,,,युवाओं के लिए कौशल विकास और प्रशिक्षण,तरुणांसाठी कौशल्य विकास आणि प्रशिक्षण,कौशल वृद्धि और रोजगार,कौशल्य वाढ आणि रोजगार,बुनियादी शिक्षा के साथ बेरोजगार युवा,मूलभूत शिक्षणासह बेरोजगार तरुण,"कौशल प्रमाणपत्र, नौकरी प्लेसमेंट, वजीफा समर्थन","कौशल्य प्रमाणपत्रे, जॉब प्लेसमेंट, स्टायपेंड समर्थन",निर्दिष्ट प्रशिक्षण केंद्रों या ऑनलाइन के माध्यम से आवेदन करें,नियुक्त प्रशिक्षण केंद्रांद्वारे किंवा ऑनलाइनद्वारे अर्ज करा,वार्षिक रिटर्न 4-6%,व्याज दर 7-10%,6 महीने से 2 साल तक,6 महिने ते 2 वर्षे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,Nationwide,Bank Account Access and Financial Inclusion,Open to all citizens above 10 years old,"Zero balance accounts, overdraft facilities, debit cards",Visit a bank branch or designated agency with ID proof,https://pmjdy.gov.in/,Interest rate 5-8%,Lifetime,,,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बैंक खाता पहुंच और वित्तीय समावेशन,बँक खात्यात प्रवेश आणि आर्थिक समावेश,10 साल से अधिक उम्र के सभी नागरिकों के लिए खुला,10 वर्षांपेक्षा जास्त वयाच्या सर्व नागरिकांसाठी खुले,"शून्य शेष खाता, ओवरड्राफ्ट सुविधा, डेबिट कार्ड","शून्य शिल्लक खाते, ओव्हरड्राफ्ट सुविधा, डेबिट कार्ड",आईडी प्रूफ के साथ एक बैंक शाखा या नामित एजेंसी पर जाएँ,आयडी पुराव्यासह बँक शाखा किंवा नियुक्त केलेल्या एजन्सीला भेट द्या,वार्षिक रिटर्न 6-9%,वार्षिक परतावा 4-6%,जीवनभर,आजीवन
