age,gender,social_category,annual_income_group,location,matched_scheme
59,Female,General,Low Income,Rural,Banking Correspondent Scheme
68,Other,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
42,Male,OBC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
73,Male,OBC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
63,Male,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
68,Male,SC,High Income,Urban,Financial Literacy Campaigns by Private Firms
50,Other,General,High Income,Rural,Financial Literacy Campaigns by Private Firms
63,Male,SC,Below Poverty Line,Rural,Retirement Pension Scheme
30,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
44,Female,SC,Middle Income,Rural,Banking Correspondent Scheme
39,Male,ST,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
40,Female,OBC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
72,Female,OBC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
78,Other,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
41,Female,ST,Low Income,Urban,Banking Correspondent Scheme
46,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
62,Female,SC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
48,Female,SC,High Income,Rural,Financial Literacy Campaigns by Private Firms
26,Male,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
42,Female,ST,Middle Income,Rural,Banking Correspondent Scheme
55,Male,ST,High Income,Urban,Banking Correspondent Scheme
49,Female,ST,Low Income,Rural,Financial Literacy Campaigns by Private Firms
32,Other,ST,Low Income,Urban,Digital Payment Incentive
32,Female,ST,Middle Income,Urban,Digital Financial Literacy Program
53,Other,OBC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
78,Male,General,Low Income,Urban,Financial Literacy Campaigns by Private Firms
76,Other,General,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
37,Male,General,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
40,Male,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
43,Male,General,Below Poverty Line,Urban,LIC Micro Insurance Policy
74,Female,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
66,Other,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
48,Male,SC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
72,Male,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
34,Other,SC,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
56,Female,ST,Low Income,Urban,Financial Literacy Campaigns by Private Firms
38,Female,OBC,High Income,Rural,Banking Correspondent Scheme
50,Male,SC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
45,Male,ST,Middle Income,Urban,Banking Correspondent Scheme
44,Female,OBC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
53,Male,ST,Middle Income,Rural,Banking Correspondent Scheme
74,Male,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
36,Other,ST,Below Poverty Line,Rural,LIC Micro Insurance Policy
64,Female,ST,Below Poverty Line,Rural,Retirement Pension Scheme
41,Male,SC,Below Poverty Line,Rural,Banking Correspondent Scheme
21,Other,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
30,Female,OBC,High Income,Rural,Digital Financial Literacy Program
55,Other,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
27,Female,General,Middle Income,Urban,Digital Financial Literacy Program
62,Female,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
31,Other,General,Low Income,Urban,Digital Payment Incentive
62,Other,General,Below Poverty Line,Rural,Retirement Pension Scheme
71,Male,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
70,Male,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
35,Other,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
37,Male,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
22,Other,General,High Income,Urban,Digital Payment Incentive
38,Other,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
31,Other,OBC,High Income,Urban,Banking Correspondent Scheme
74,Female,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
67,Female,SC,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
43,Male,General,Low Income,Urban,Financial Literacy Campaigns by Private Firms
22,Other,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
66,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
49,Female,ST,Below Poverty Line,Rural,Banking Correspondent Scheme
22,Other,ST,Low Income,Urban,Financial Literacy Campaigns by Private Firms
34,Other,OBC,Low Income,Urban,Digital Financial Literacy Program
18,Male,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
79,Male,ST,Low Income,Urban,Financial Literacy Campaigns by Private Firms
70,Female,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
66,Other,SC,High Income,Rural,Financial Literacy Campaigns by Private Firms
28,Male,General,High Income,Urban,Digital Financial Literacy Program
28,Male,General,High Income,Rural,Financial Literacy Campaigns by Private Firms
26,Female,ST,Below Poverty Line,Rural,Digital Financial Literacy Program
32,Other,General,Middle Income,Urban,Digital Financial Literacy Program
69,Male,OBC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
60,Other,OBC,High Income,Urban,Banking Correspondent Scheme
72,Female,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
49,Male,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
68,Other,SC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
26,Other,SC,Low Income,Rural,Banking Correspondent Scheme
44,Other,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
20,Female,General,High Income,Rural,Digital Payment Incentive
37,Male,General,Low Income,Urban,Financial Literacy Campaigns by Private Firms
23,Other,OBC,Below Poverty Line,Urban,Digital Financial Literacy Program
54,Male,OBC,Low Income,Rural,Banking Correspondent Scheme
44,Male,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
78,Male,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
23,Male,General,Below Poverty Line,Urban,Banking Correspondent Scheme
78,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
29,Other,ST,High Income,Urban,Digital Payment Incentive
69,Male,OBC,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
60,Other,General,Middle Income,Rural,Banking Correspondent Scheme
67,Female,General,Low Income,Urban,Financial Literacy Campaigns by Private Firms
35,Other,General,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
