scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Pradhan Mantri Suraksha Bima Yojana,Government,18-70,All,All,All,India,Accident insurance coverage,All residents aged 18-70,Accidental death and disability coverage,Register through bank or online portal,https://psbys.in/,N/A,1 year (renewable),Rs. 12 per year,One-time yearly payment
Pradhan Mantri Vaya Vandana Yojana,Government,60+,All,All,All,India,Retirement savings,Senior citizens above 60,"Guaranteed return, Pension scheme",Visit authorized bank branches or post offices,https://vayavandana.gov.in/,Interest rate ~7.4%,10 years,N/A,N/A
National Digital Payments Mission,Government,All,All,All,All,India,Promote digital payments and financial inclusion,All citizens,"Cashback offers, Digital literacy campaigns",Register via government portals,https://ndpm.gov.in/,N/A,Ongoing,N/A,N/A
Loan for Small Entrepreneurs,Private,19-50,All,General,Middle,Urban,Microcredit and business expansion,Small business owners,"Low-interest loans, Business support services",Apply online or through partner banks,https://smallentrepreneurs.in/,Interest rate 10-15% per annum,1-3 years,"Variable, depending on loan amount",Monthly
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Financial Inclusion for All,Open to all citizens above 10 years,"Zero balance accounts, Insurance coverage",Visit local bank branch with ID proof,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
LIC Micro Insurance Scheme,Private,19-35,All,General,Below Poverty Line,Urban and Rural India,Insurance Coverage for Low-income Groups,"Low-income households, aged 18-40",Affordable insurance policies with easy claim process,Apply online or at LIC branches,https://licindia.in/,N/A,1 year to 5 years,500 to 3000 INR annually,Annually
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,India,Savings for Girl Child's Education & Marriage,Parents or guardians of girl children below age 10,"Interest rate of 7.6%, Tax benefits",Open account at authorized bank or post office,https://sukanyasampada.gov.in,Approx. 1.5 times the investment over 21 years,21 years or until girl turns 18 if earlier,2500 INR minimum annually,Annually
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,India,Microcredit for Small Businesses,"Micro/small entrepreneurs, MSMEs","Loans up to 10 lakh INR, collateral-free",Apply through banks or NBFCs authorized under scheme,https://mudra.org.in,"Interest rates vary, approx. 8-12%",1 to 5 years,"Interest + principal, variable",Monthly or quarterly
Atal Pension Yojana,Government,18-40,All,All,Middle,India,Pension Security for Workers in Unorganized Sector,"Age 18-40, Bank account holder","Guaranteed pension after 60, co-contributions by government",Register via bank or mobile app,https://pension.nta.nic.in,"Variable based on contribution, maturity at 60","Lifetime, until 60+",500 to 2000 INR monthly,Monthly
Vikas Microfinance Scheme,Private,19-60,All,OBC,Middle,Rural India,Microfinance for Women Entrepreneurs,"Women in rural areas, aged 19-45","Low-interest loans, training support",Apply through partnered microfinance institutions,https://vikasmicrofinance.in,Interest rates around 10%,1 to 3 years,"Monthly installments, principal + interest",Monthly
Rural Housing Scheme,Government,36-60,All,All,Below Poverty Line,Rural India,Affordable Housing for Rural Poor,Rural households below poverty line,"Subsidized loans, construction support",Apply via local rural development offices,https://ruralhousing.gov.in,Interest rate around 7%,15-20 years,"Variable, based on loan amount",Monthly
Skill Development Loan Scheme,Private,19-35,All,General,Middle,Urban India,Financial Support for Skill Development,"Individuals seeking skill certification, aged 18-35","Loan at low interest, flexible repayment",Apply online or at partnered training centers,https://skillloan.org.in,Interest around 9%,1 to 3 years,Loan amount + interest,Monthly
Old Age Pension Scheme,Government,60+,All,All,All,India,Pension for Senior Citizens,"Senior citizens above 60, resident of India","Monthly pension, healthcare support",Register at local social welfare offices,https://oldagepension.gov.in,N/A,Lifetime,N/A,Monthly
Start-up India Funding Support,Private,19-45,All,All,Upper,Urban India,Funding for Start-ups and Entrepreneurs,"Start-ups less than 3 years old, registered","Seed funding, mentorship support",Apply online through Startup portal,https://startups.gov.in,N/A,N/A,N/A,N/A
Women Empowerment Microcredit,Private,19-45,Female,OBC,Middle,Urban and Rural India,Microcredit for Women Entrepreneurs,"Women aged 19-45, micro-entrepreneurs","Affordable loans, business training",Apply at local microfinance institutions,https://wom microcredit.org.in,Interest rates around 10%,1 to 3 years,"Monthly installments, principal + interest",Monthly
Post Office Savings Scheme,Government,All,All,All,All,India,Savings and Investment,All Indian citizens,"Interest income, safe investment",Open account at any post office,https://indiapost.gov.in,Interest rate around 5.5%,N/A,N/A,N/A
STEM Education Loan Scheme,Private,19-35,All,All,Middle,Urban India,Financial Support for STEM Education,"Students pursuing STEM courses, aged 19-30","Low-interest loans, deferred repayment",Apply online or at partner banks,https://stemloan.in,Interest around 8.5%,1 to 4 years,Loan + interest,Monthly
Rural Savings Scheme,Government,6-18,All,General,Below Poverty Line,Rural India,Savings,Residents of rural areas aged 6-18,"Interest on savings, financial literacy sessions",Apply at local bank branch with ID proof,https://ruralsavings.gov.in,Interest Rate 4% p.a.,Lifetime,N/A,N/A
Urban Microcredit Initiative,Private,19-35,All,OBC,Middle,Urban India,Microcredit,Young adults with stable income,"Access to small loans, financial training",Online application via official website,https://urbanmicrocredit.org,Interest Rate 10-15% p.a.,1-5 years,N/A,Monthly
Senior Citizens Pension Scheme,Government,60+,All,All,Below Poverty Line,All India,Pension,Senior citizens below income threshold,"Monthly pension, healthcare benefits",Fill form at local government office,https://seniorpension.in,N/A,Lifetime,N/A,Monthly
Women's Financial Literacy Program,Government,19-35,Female,All,Middle,Rural and Urban India,Financial Literacy,Women above 18 years,"Financial education, skill development",Registration online or at local centers,https://womensfinancial.org,N/A,6 months to 1 year,N/A,N/A
StartUp Boost Fund,Private,19-35,All,All,Upper,Urban India,Microcredit and Business Support,Startups and entrepreneurs with innovative ideas,"Seed funding, mentorship",Online submission with business plan,https://startupboost.in,"Equity stake, ROI varies",N/A,N/A,N/A
OBC Community Development Scheme,Government,All,All,OBC,All,Selected states with OBC populations,Social Development,OBC community members,"Skill training, financial aid",Application through community centers,https://obccommunity.gov.in,N/A,1-3 years,N/A,N/A
Minority Entrepreneurs Fund,Government,19-60,All,Minority,Middle,All India,Microcredit for Entrepreneurship,Minority entrepreneurs with viable business plans,"Loans, training programs",Online application with business documents,https://minorityentrepreneurs.gov.in,Interest Rate 8-12% p.a.,1-5 years,N/A,Quarterly
Rural Health & Wealth Scheme,Government,6-60,All,All,Below Poverty Line,Rural India,Healthcare and Savings,Rural residents below poverty line,"Health insurance, savings accounts",Register at local health centers,https://ruralhealthwealth.in,N/A,Lifetime,N/A,N/A
Urban Education Fund,Private,6-18,All,All,Middle,Urban India,Education Funding,Students from middle-income families,"Scholarships, funding for books and tuition",Application through school or online,https://urbaneducationfund.org,N/A,N/A,N/A,N/A
ST Youth Skill Development,Government,19-35,All,ST,Below Poverty Line,ST regions,Skill Development,ST youth below 35,"Training programs, certification",Apply at local government offices,https://stskilled.gov.in,N/A,6 months to 1 year,N/A,N/A
Women's Microfinance Support,Private,19-60,Female,All,Middle,All India,Microfinance,Women entrepreneurs with viable business ideas,"Microloans, financial training",Online application with business proposal,https://womensecurefinance.org,Interest rate 10-14% p.a.,1-3 years,N/A,Monthly
Youth Employment Initiative,Government,19-35,All,All,Middle,Urban and Rural India,Employment Generation,Young job seekers,"Job training, wage subsidies",Register online or at employment centers,https://youthemployment.in,N/A,6 months to 2 years,N/A,N/A
ST Women Empowerment Program,Government,19-35,Female,ST,Below Poverty Line,ST regions,Women Empowerment,ST women below 35,"Skill development, livelihood support",Apply at local government offices,https://stwomensempower.gov.in,N/A,1-2 years,N/A,N/A
Microinsurance for Farmers,Private,19-60,All,All,Below Poverty Line,Rural India,Insurance,Farmers below poverty line,"Crop insurance, health cover",Register via local insurance agents,https://microinsurefarms.org,N/A,N/A,N/A,N/A
Financial Literacy for Women,Government,19-35,Female,All,Middle,All India,Financial Literacy,Women above 18 years,"Financial education, empowerment",Apply online or at centers,https://financialwomen.in,N/A,3 months to 1 year,N/A,N/A
Entrepreneurship Development Program,Government,19-35,All,All,Upper,All India,Entrepreneurship,Young adults with innovative ideas,"Training, seed capital",Online application with business plan,https://entreprendevelopment.org,N/A,6 months to 1 year,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,0-60,All,All,Below Poverty Line,All India,Bank Account Opening and Financial Inclusion,Any Indian citizen above 10 years of age,"Zero balance savings account, overdraft facility, and accident insurance",Visit a bank branch or official portal to open an account with necessary documents,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Stand Up India Scheme,Government,18-60,All,OBC,Below Poverty Line,All India,Microcredit for SC/ST and women entrepreneurs,Entrepreneurs from SC/ST or women with project proposals,"Loans between INR 10 lakh to INR 1 crore, interest subsidies, and mentorship",Apply through banks or online portal with project proposal,https://standupmitra.in/,Interest rate around 8-12% per annum,5-7 years,Variable interest on loans,Monthly or Quarterly
Atal Pension Yojana,Government,18-40,All,All,Middle,Urban and Rural,Retirement pension scheme,Any Indian aged 18-40 with a bank account,Minimum guaranteed pension of INR 1000 to 5000 monthly after 60 years of age,Register online or via bank branches with KYC documents,https://npsey.gov.in/,N/A,"Lifetime, post 60 years",Monthly contributions starting from INR 42,Monthly
Mudra Loan Scheme,Government,18-60,All,All,Below Poverty Line,All India,Microfinance for small businesses,Small business owner or aspiring entrepreneur,Loans up to INR 10 lakh for business expansion or startup costs,Apply at bank or NBFC with business plan and documents,https://mudra.org.in/,Interest rate around 8-15%,Up to 5 years,Interest and principal payments as per bank schedule,Monthly
Swarna Jayanti Shahari Rojgar Yojana,Government,18-45,All,All,Middle,Urban areas,Urban employment and skill development,Urban unemployed youth with prior skills or training,"Skill training, employment opportunities, and wage support",Register via employment offices or online portal,https://urban.gov.in/,N/A,Variable based on employment project,N/A,N/A
India Microfinance for Women,Private,20-50,Female,OBC,Below Poverty Line,Rural India,Microcredit for women entrepreneurs,Women with small business idea or existing microbusiness,"Low-interest microloans, training, and mentorship",Application through partner microfinance institutions with business plan,https://microfinanceindia.org/,Interest around 12-18%,2-4 years,Monthly interest and principal,Monthly
Digital Literacy Campaign,Government,15-45,All,All,All,Rural and Urban,Financial literacy and digital skills training,"Open to all residents, especially youth and women","Improved digital skills, access to online banking, financial services",Participate in training programs organized locally or online,https://digitalindia.gov.in/,N/A,"Varies, typically 1-6 months",N/A,N/A
Rural Self Employment Training Institute Program,Government,18-35,All,All,Below Poverty Line,Rural India,Skill development for rural youth,Rural youth with interest in small-scale industries,"Skill training, tools kit, and start-up support",Apply via local rural development offices or online portal,https://rseti.gov.in/,N/A,3-6 months,N/A,N/A
StartUp India Scheme,Government,18-45,All,All,All,All India,Encourage startup culture and innovation,"Startups registered with DPIIT, innovative business idea","Tax exemptions, incubation support, funding opportunities",Register online via Startup India portal,https://startupindia.gov.in/,N/A,N/A,N/A,N/A
National Pension System,Government,18-60,All,All,Middle,All India,Retirement planning and pension savings,Any Indian aged 18-60 with KYC documents,"Flexible investment options, portable and tax-efficient",Open account online or through authorized agents,https://nps.gov.in/,Returns vary based on investment options,"Lifetime, after 60 years","Flexible contribution, minimum INR 500 per month",Monthly
Mahila Co-Operative Credit Society,Private,20-55,Female,OBC,Below Poverty Line,Rural India,Microfinance and savings for women,Women in rural areas forming cooperative groups,"Low-interest loans, savings facilities, financial literacy training",Group registration with local cooperative societies,https://mahila.coop/,Interest around 10-14%,1-3 years,Monthly repayment schedule,Monthly
Pradhan Mantri Awas Yojana,Government,36-60,All,All,Below Poverty Line,All India,Housing for Economically Weaker Sections,EWS families with income below INR 3 lakh/year,Subsidized loans for home purchase or construction,"Online application through official portal, verification required",https://pmay.gov.in,Interest subsidy up to 6.5%,N/A,Subsidized interest rate,N/A
Jan Dhan Yojana,Government,All,All,All,Below Poverty Line,India,Financial Inclusion and Bank Accounts for All,Open to all residents of India above 10 years old,"Free zero-balance bank accounts, insurance cover",Visit bank branch or online application via official portal,https://pmjdy.gov.in,N/A,N/A,N/A,N/A
Microcredit for Women,Private,19-35,Female,OBC,Middle,Rural Areas,Microfinance and Self-Employment,Women entrepreneurs with viable business ideas,"Small loans with low-interest rates, business training","Application through partnered microfinance institutions, document verification",https://microfinanceindia.org,Interest rate 12-15% per annum,1-5 years,Monthly installments,Monthly
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,All India,Pension support for senior citizens,Senior citizens above 60 years with no pension income,Monthly pension in INR 2000-5000,"Application through local social welfare offices, online registration available",https://socialwelfare.gov.in,N/A,Lifetime or until death,N/A,Monthly
Skill Development Loan Scheme,Private,19-35,All,General,Middle,Urban and Rural,Funding skill training and certifications,Individuals aged 18-35 seeking skill development opportunities,"Loans with low-interest rates, repayment flexible","Online application via partnered training institutes, bank verification",https://skillsloan.gov.in,Interest rate 10-14% annually,1-3 years,Monthly or quarterly installments,Monthly
Agricultural Credit Scheme,Government,36-60,Male,OBC,Middle,Rural India,Providing credit to farmers for crop and equipment purchase,Farmers with valid landholdings,"Low-interest loans, flexible repayment schedules","Application at local bank branches, land documents required",https://agri-credit.gov.in,Interest rate 7-9%,1-5 years,Monthly installments,Monthly
Startup India Fund,Government,19-35,All,All,Upper,All India,Support startups and innovation,Registered startups less than 5 years old,"Funding, mentorship, incubation support","Apply online via Startup India portal, pitch presentation",https://startupindia.gov.in,Equity or repayable grants depending on program,Varies by program,Depends on funding terms,N/A
Apna Rozgar Scheme,Private,19-35,All,General,Middle,Urban India,Job placement and skill training,Unemployed youth seeking employment opportunities,"Job placement assistance, vocational training","Online registration, interview process at partner agencies",https://apnarozgar.org,N/A,6 months to 2 years,N/A,N/A
Women Self-Help Groups Support,Government,19-60,Female,OBC,Below Poverty Line,Rural India,Promote women's entrepreneurship and livelihood,"Women in self-help groups, income below INR 1.5 lakh/year","Financial support, training, market linkages","Application via local district offices, group registration",https://womensgroups.gov.in,N/A,2-5 years,N/A,N/A
Educational Loan Scheme,Private,19-35,All,General,Upper,All India,Funding higher education in India and abroad,Students enrolled in recognized institutions,"Low-interest loans, flexible repayment options","Online application, bank verification, admission proof submission",https://educationloans.gov.in,Interest rate 8-11%,1-10 years,Monthly installments,Monthly
Disability Inclusion Program,Government,All,All,All,All,All India,Inclusive financial services for persons with disabilities,Persons with disabilities registered with authorities,"Financial support, assistive devices, skill training","Application through social welfare departments, online forms",https://disabilityinclusion.gov.in,N/A,N/A,N/A,N/A
Startup Incubation Support,Government,19-35,All,All,All,Urban India,Incubation and support for startups,Early-stage startups with innovative ideas,"Office space, mentoring, seed funding","Online application, pitch presentation, validation process",https://startupincubation.gov.in,"Equity, grants, or repayable funding",1-3 years,Depends on funding mode,N/A
