scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Rural Digital Banking Initiative,Government,All,All,All,Below Poverty Line,Rural India,Promote Digital Transactions and Banking Access,All rural residents with ID proof,"Digital banking access, financial literacy programs",Register at local banks or via mobile app,https://ruralbanking.gov.in,N/A,Ongoing
Smart Savings App,Private,19-60,All,All,All,Urban India,Personal Financial Management and Savings,Smartphone users with bank accounts,"Automated savings, financial planning tools",Download app and register with bank details,https://smartsavingsapp.in,N/A,Ongoing
Women Empowerment Financial Program,Government,19-60,Female,OBC,Middle,India,Empower Women through Microfinance and Savings,Women with small businesses or income sources,"Microfinance, financial literacy, savings schemes",Apply through local women’s groups or banks,https://womenempower.in,Interest rates 10-14%,Up to 5 years
Urban Microcredit Scheme,Private,19-60,All,All,Middle,Urban India,Microcredit for Urban Small Businesses,Small business owners in urban areas,"Small loans, business support services",Apply at microfinance institutions or banks,https://urbanmicrocredit.in,Interest rate 9-13%,Up to 4 years
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,India-wide,Banking and Financial Inclusion,Open to all citizens above 18 years,"Zero balance accounts, overdraft facility","Visit bank branch or online portal, submit basic ID proof",https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,India-wide,Child Education and Marriage Fund,Parents or guardians can open an account for girl child,"Interest rate 7.6%, tax benefits","Visit bank or post office, submit ID and birth certificate of girl",https://sukanyasamriddhi.gov.in,Interest rate 7.6% p.a.,Lifetime
Atal Pension Yojana,Government,19-60,All,All,Below Poverty Line,India-wide,Pension Savings,All citizens aged 18-40 with a bank account,"Monthly pension after 60, flexible contribution","Register at bank or online, choose pension plan",https://apyb.gov.in,Pension amount varies,Lifetime
PMJJBY - Pradhan Mantri Jeevan Jyoti Bima Yojana,Government,18-50,All,All,All,India-wide,Life Insurance Cover,Citizens aged 18-50 with bank account,"INR 2 lakh life cover, premium Rs.330 per year","Enroll through bank or online portal, pay premium annually",https:///jansuraksha.gov.in,N/A,"1 year, renewable annually"
ICICI Bank Microfinance Scheme,Private,19-60,All,OBC,Below Poverty Line,Urban and Rural India,Microcredit for Small Businesses,Small entrepreneurs with valid business plan,"Loan amount up to INR 50,000, low-interest rates","Application at branch or online, submit business documentation",https://icicibank.com,Interest rate 12-15% p.a.,1-5 years
LIC Micro Insurance Policy,Private,18-60,All,All,Below Poverty Line,Urban and Rural India,Micro Insurance for Low-Income Families,Households with annual income below BPL,"Life cover, health benefits, premium subsidies","Register at LIC branch or online, simple documentation",https://licindia.in,N/A,"1 year, renewable annually"
SBI Youth for India Fellowship,Private,19-29,All,All,Middle,Rural and Urban India,Financial Literacy and Youth Engagement,"Graduates below 30, interested in rural development","Stipend, training, mentorship","Online application, interview process",https://sbi.co.in,N/A,1 year
Rural Electrification Loan Program,Government,19-60,All,All,Middle,Rural India,Rural Infrastructure Development,Rural residents with small businesses or farms,"Low-interest loans, technical support","Apply at local banks, submit project plan",https://rural.gov.in,Interest rates 10-13%,3-7 years
HDFC Small Business Loan,Private,21-60,All,OBC,Middle,Urban India,Small Business Financing,Small business owners with valid business registration,"Loan up to INR 10 lakh, flexible repayment","Online application, submit business documents",https://hdfcbank.com,Interest rate 14-16% p.a.,1-5 years
National Savings Certificate (NSC),Government,All,All,All,All,India-wide,Savings and Investment,"Indian residents, 10+ years age","Interest accumulation, tax benefits under 80C",Buy from post offices or banks,https://indiabudget.gov.in,Interest rate 6-7% p.a.,5 or 10 years
Equity Mutual Fund SIP,Private,19-60,All,All,Middle,Urban India,Wealth Creation,KYC compliant investors aged 18-60,"Potentially high returns, disciplined investing",Register with mutual fund companies or online platforms,https://amtfunds.com,"Variable, historical 12-15% p.a.",N/A
Mudra Yojana,Government,19-60,All,OBC,Below Poverty Line,Rural and Urban India,Micro Entrepreneurship Financing,Small entrepreneurs with business idea,"Loan up to INR 10 lakh, interest subvention","Apply through banks, submit business plan",https://mudra.org.in,Interest rate 12-15% p.a.,3-5 years
ICICI Prudential Life Insurance,Private,18-55,All,All,All,India-wide,Life Insurance,All residents with valid ID and health documentation,"Life cover, health benefits, investment options",Apply online or through agents,https://iciciprulife.com,Depends on policy and investment,Lifetime or fixed term
Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Banking Access for All,Open to all Indian residents with no minimum income criteria,"Basic banking accounts with zero balance, insurance, and overdraft facilities",Visit a bank branch or apply online through the official portal,https://www.pmjdy.gov.in,N/A,Lifetime
Pradhan Mantri Suraksha Bima Yojana,Government,19-35,All,All,All,India,Accident Insurance Cover,"Anyone aged 18-70 can enroll, with aadhar link preferred","Accident death and disability coverage, premium Rs. 12 per annum",Register via bank or online portal with Aadhar number,https://www.insuranceindia.gov.in,N/A,1 year
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,Rural and Urban India,Microcredit for small businesses,Small business owners or aspiring entrepreneurs with valid business plan,"Loans up to Rs. 10 lakh, minimal collateral","Apply through bank branch or digital portals, submit business plan",https://www.mudra.org.in,Interest rate 8-12% depending on loan amount and tenure,Up to 5 years
PMSBY,Government,18-70,All,All,All,India,Pension Scheme for Saving and Security,Bank account holders aged 18-70,"Rs. 2 lakh accidental death cover, Rs. 1 lakh disability cover, premium Rs. 12/year",Register through bank branch or online,https://www.ukfsa.org,N/A,1 year
ICICI Bank Wealth Management,Private,36-60,All,All,Upper,Urban India,Investment & Wealth Growth,High net worth individuals and professionals,"Portfolio management, personalized investment strategies",Contact a branch or wealth manager online,https://www.icicibank.com,"Variable, based on investments; typically 10-15% annualized return",Ongoing
Aditya Birla Financial Savings Plan,Private,19-35,All,All,Middle,Urban and Semi-urban areas,Savings and Investment,Young professionals with stable income,"Flexible savings options, tax benefits under Section 80C",Apply online or through authorized agents,https://www.adityabirlafinance.com,"Estimated 8-12% annually, tax benefits applicable",5-10 years
Vaya Samridhi Yojana,Government,60+,All,All,All,Rural and Urban India,Senior Citizens’ Pension and Savings,Senior citizens with bank account and Aadhaar,"Monthly pension, savings for medical expenses",Visit bank or government office with ID and Aadhaar,https://www.pension.gov.in,"Variable, depends on pension scheme selected",Lifetime
Kotak Mahindra Bank Microfinance,Private,19-60,All,OBC,Below Poverty Line,Rural India,Microcredit for Small Entrepreneurs,Small entrepreneurs with a valid business plan and bank account,"Micro loans up to Rs. 5 lakh, low interest rates, flexible repayment",Apply via bank branches or online platform,https://www.kotak.com,"Interest rates typically 12-16%, depending on loan terms",Up to 3 years
SBI Youth for Financial Inclusion,Government,19-35,All,General,Middle,Urban India,Financial Literacy and Inclusion for Youth,Students and young professionals,"Financial literacy workshops, savings accounts, insurance options",Register through partnered educational institutions or online portal,https://www.sbi.co.in,N/A,1 year
LIC Saral Suraksha Yojana,Private,18-50,All,All,All,India,Term Life Insurance,All Indian residents aged 18-50,"Affordable term life cover, sum assured options from Rs. 2 lakh to Rs. 50 lakh",Apply online or through LIC agents,https://www.licindia.in,N/A,Term up to 20 years
National Pension System (NPS),Government,18-60,All,All,All,India,Retirement Savings and Pension,Indian citizens aged 18-60,"Pension benefits, tax savings under Section 80C, market-linked returns",Register online or via authorized service providers,https://nps.nsdl.com,"Variable, depends on market conditions, approx 8-12% annually",Lifetime
HDFC Bank InstaSave,Private,19-35,All,All,Middle,Urban India,Savings & Financial Discipline,Young earners with a bank account,"High interest savings account, automatic recurring deposits",Open account online or at branch,https://www.hdfcbank.com,Interest rate around 4-6% annually,Ongoing
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,India,Girl Child Savings Plan,"Girl child up to age 10, guardian's documentation required","Tax benefits, attractive interest rates, maturity benefits","Apply at bank or post office, online options available",https://www.sukanyasampada.gov.in,Interest rates around 7-8% compounded annually,21 years or until marriage of girl child
Pradhan Mantri Jan Dhan Yojana,Government,"0-5, 6-18, 19-35, 36-60, 60+",All,All,Below Poverty Line,All India,"Bank account accessibility, financial inclusion",Open to all Indian residents above 18,"Zero balance accounts, debit card, insurance",Visit bank branch with ID proof,https://pmjdy.gov.in,N/A,Lifetime
Atal Pension Yojana,Government,"18-40, 41-60",All,All,Middle,All India,Retirement pension scheme,"Indian residents aged 18-40, enrolled under Pradhan Mantri Jan Dhan Yojana","Pension after retirement, guaranteed income",Register online or through bank branches,https://pensionforyou.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,General,All,All India,Child girl child savings plan,Parents or guardians of girl children,"Interest on savings, tax benefits, maturity amount in INR",Open account at bank or post office,https://sukanyasamriddhi.gov.in,Interest rate 7.6% per annum,Till girl turns 21 or 22
Mudra Yojana,Government,18-60,All,All,Below Poverty Line,All India,Microcredit for small businesses,"Micro, small, or emerging businesses","Loans up to 10 lakh INR, collateral-free",Apply online or at bank branch,https://mudra.org.in,Interest rate 9-12%,N/A
National Digital Payments Mission,Government,All,All,All,All,All India,Promote digital payments,Open to all citizens and businesses,"Cashback, rewards, increased digital transaction security",Register via official website or banking partner,https://ndpm.gov.in,N/A,Ongoing
Bharat Interface for Money (BHIM),Government,All,All,All,All,All India,Facilitate digital transactions,Anyone with a mobile phone,"Instant digital payments, QR code scanning","Download app, register mobile number",https://uhyog.gov.in,N/A,Ongoing
HDFC Microcredit Scheme,Private,18-60,All,OBC,Below Poverty Line,"Urban, Rural",Microfinance for small enterprises,"Small business owners, entrepreneurs","Low-interest microloans, financial advisory","Online application, document verification",https://hdfcbank.com,Interest rate 11-14%,1-5 years
ICICI Bank Women Empowerment Loan,Private,21-50,Female,All,Middle,Urban,Financial empowerment for women,"Women entrepreneurs, working women","Loan for business, education, health",Apply online or at branch,https://icicibank.com,Interest rate 10-13%,1-3 years
Reliance Financial Literacy Initiative,Private,15-35,All,All,All,"Urban, Rural",Financial literacy awareness,"Open to all, especially youth","Workshops, training, online resources",Register online or at local centers,https://reliance.com,N/A,Ongoing
Tata Trusts Microfinance Support,Private,18-65,All,All,Below Poverty Line,Rural India,Microfinancing for rural entrepreneurs,Rural micro-entrepreneurs,"Low-interest microloans, skill training",Application via local NGO or bank,https://tata.com,Interest rate 9-13%,1-4 years
SBI Microcredit Scheme,Government,18-60,All,OBC,Below Poverty Line,Rural and Urban,Microloans for small businesses,"Small business owners, entrepreneurs","Loans up to 5 lakh INR, collateral-free",Online or branch application,https://sbi.co.in,Interest rate 10-14%,1-3 years
PNB Housing Finance Scheme,Private,25-60,All,All,Upper,Urban and Semi-Urban,Housing finance,"Individuals with stable income, property documents","Home loans with low interest, flexible repayment",Apply online or via branch,https://pnbhfl.com,Interest rate 8-12%,N/A
LIC Micro Insurance Scheme,Government,All,All,All,All,All India,Micro insurance coverage,All residents with identity proof,"Micro insurance policies, health coverage",Apply at LIC branch or online,https://licindia.in,N/A,Lifetime
Pradhan Mantri Suraksha Bima Yojana,Government,18-60,All,All,Below Poverty Line,National,Insurance,Individuals aged 18-60 with savings account,Accidental death and disability cover with minimal premium,Register via bank account or online portal,https://pmgsy.gov.in,N/A,1 year
Sampoorna Microcredit Scheme,Government,20-60,All,OBC,Below Poverty Line,Rural areas,Microcredit,Residents in targeted rural regions with income below BPL,Access to microloans for entrepreneurship and emergencies,Apply at local bank branches or self-help groups,https://microcredit.gov.in,Interest rate 12-15% per annum,Up to 5 years
Jan Dhan Yojana,Government,0-60,All,All,All,Urban and Rural,Banking inclusion and savings,Anyone aged 10 and above with proof of identity,"Zero balance savings account, insurance cover, and direct benefit transfer",Visit bank branch or apply online,https://janadhan.gov.in,N/A,Lifetime
Indira Gandhi National Pension Scheme,Government,60+,All,All,Middle,National,Pension for senior citizens,Individuals above 60 with or without formal employment,Monthly pension after retirement,Register at designated pension offices or online,https://ignpension.gov.in,Monthly pension amount depends on contributions,Lifetime
HDFC Bank Pocket Insurance,Private,18-45,All,General,Middle,Urban,Insurance,Bank account holder aged 18-45,Affordable health and accident insurance cover,Apply via HDFC bank branch or online,https://hdfcbank.com/pocketinsurance,N/A,1 year
Bajaj Finserv MicroLoan,Private,21-60,All,General,Middle,Urban and Rural,Microcredit,Individuals with steady income and valid ID,Quick microloans with minimal documentation,Apply online or at Bajaj branches,https://bajajfinserv.in,Interest rate 10-18% per annum,Up to 3 years
National Savings Certificate,Government,All,All,All,All,Nationwide,Savings and investment,Individuals of any age with valid ID,"Safe investment with guaranteed returns, tax benefits",Buy through banks or post offices,https://india.gov.in/nsc,Interest rate 6-7% annually,5-10 years
Rural Electrification Loan Scheme,Government,18+,All,All,Below Poverty Line,Rural areas,Financial support for electrification,Rural households seeking electricity connection,Loan at subsidized rates for electrification costs,Apply at local rural development offices,https://rural.gov.in/electrification,Interest rate 5-8% per annum,Up to 7 years
Private Health Insurance Plan,Private,25-50,All,General,Upper,Urban,Health insurance,Adults aged 25-50 with proof of income,Comprehensive health coverage with cashless facilities,Apply online or through agent networks,https://privatehealthinsure.com,N/A,Annual renewal
Self-Help Group Loan Facility,Government,18-65,All,OBC,Below Poverty Line,Rural,Microcredit for SHGs,Members of registered self-help groups in rural areas,Low-interest loans for livelihood activities,Application through local SHG federation,https://shgloan.gov.in,Interest rate 8-12% per annum,Up to 5 years
Senior Citizens Savings Scheme,Government,60+,All,All,Middle,Nationwide,Retirement savings,Senior citizens with valid ID,Secure savings with attractive interest rates,Apply via banks or post offices,https://scss.gov.in,Interest rate 7-8% annually,5 years
E-wallet for Small Traders,Private,18-60,All,General,Middle,Urban,Digital payments and savings,Small traders with valid business registration,Easy digital transactions and savings account,Register online or at partner stores,https://digitalwallet.com,N/A,N/A
Agricultural Credit Card Scheme,Government,20-60,All,All,Below Poverty Line,Rural,Agricultural microfinance,Small farmers with landholdings,Easy access to credit for farming needs,Apply at local banks or cooperative societies,https://agriculture.gov.in,Interest rate 9-14% per annum,Up to 7 years
Private Pension Fund,Private,50-70,All,All,Upper,Urban,Retirement savings,Individuals aged 50-70 with proof of income,Monthly pension after retirement and tax benefits,Register via online portal or financial advisor,https://privatetrusts.com,Variable based on investment performance,Lifetime
Skill Development Loan Scheme,Government,18-35,All,All,Middle,Nationwide,Funding for skill training,Young individuals with basic educational qualification,Loans for skill courses with low interest rates,Apply through designated government portals or banks,https://skillloan.gov.in,Interest rate 8-15% per annum,Up to 3 years
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Bank Accounts for All,Any Indian resident,"Zero balance accounts, Debit cards",Visit local bank branch with ID proof,https://pmjdy.gov.in/,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,General,All,India,Child Savings for Girls,Parents or guardians of girl child,"Interest on savings, Tax benefits",Register at bank or post office,https://sukanyasamriddhi.gov.in/,Approx. 7% interest rate,21 years or until girl turns 21
Mahila Microfinance Program,Private,19-35,Female,OBC,Middle,Rural India,Microcredit for Women,Women in rural areas with viable business plans,"Loan facilities, Business support",Apply through partnered microfinance institutions,https://microfinanceindia.org/,Interest rate 12-15% per annum,1-5 years
Senior Citizens Pension Scheme,Government,60+,All,All,Below Poverty Line,All states,Pension Provision,Senior citizens with valid ID,Monthly pension payments,Apply at local pension offices or online,https://seniorspension.in/,Monthly pension amount varies (INR 2000-5000),Lifetime
Startup India Investment Scheme,Government,19-35,All,All,Upper,Urban and Rural,Funding for Startups,Registered startups with innovative products,"Equity funding, Mentorship","Register on official portal, pitch to investors",https://startuindia.gov.in/,"Variable, depends on startup success",N/A
Private Health Insurance Plan,Private,36-60,All,All,Middle,Urban India,Health Coverage,Any individual with valid ID,"Coverage for medical expenses, maternity, dental",Apply online or via agents,https://privatehealthindia.com/,Coverage varies; premium 10-15% of income,1 year to lifetime
Rural Electrification Microloan,Private,19-60,All,OBC,Below Poverty Line,Rural India,Energy Access,Rural households needing electricity,Loan for solar/home wiring,Apply through local cooperatives,https://ruralenergy.org/,Interest rate 8-10% per annum,2-5 years
Financial Literacy Campaigns,Government,All,All,All,All,All regions,Financial Awareness,Open to all residents,"Increased financial knowledge, literacy",Participate in workshops or online modules,https://financialliteracy.gov.in/,N/A,Variable
Educational Loan Scheme,Government,19-35,All,All,Middle,All states,Higher Education Funding,Students with admission in recognized universities,"Loan with low interest, grace period",Apply through bank or educational institutions,https://educationloans.gov.in/,Interest rates 8-12%,5-15 years
Private Investment Scheme for Small Businesses,Private,19-60,All,All,Upper,Urban India,Business Investment,Small business owners with valid registration,"Equity funding, Business mentorship",Pitch through official portal or network partners,https://smallbizinvest.org/,"Variable, depending on business success",N/A
Youth Skill Development Fund,Government,18-30,All,All,All,All regions,Skill Enhancement,Youth seeking skill training,"Funding for courses, Stipends",Register via local training centers or online,https://youthskills.gov.in/,N/A,Variable
Women’s Self-Help Group Loan Scheme,Government,19-60,Female,OBC,Middle,Rural India,Microfinance for Women,Members of recognized SHGs,"Microloans, Training support",Apply through SHG meetings or bank branches,https://shgloan.gov.in/,Interest rate 10-13%,1-3 years
Digital Payment Initiative,Government,All,All,All,All,All regions,Promote Digital Transactions,Anyone with bank account or mobile,"Incentives, Reduced transaction costs",Download app and register,https://digitalpay.gov.in/,N/A,Ongoing
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Access for All,Open to all citizens above 18,"Free zero-balance accounts, Debit card",Visit bank branch with ID and address proof,https://pmjdy.gov.in,N/A,Lifetime
Mahila Microfinance Program,Government,19-35,Female,OBC,Below Poverty Line,Rural,Microcredit for Women,Women below poverty line in rural areas,"Low-interest microloans, Financial literacy training",Online or local microfinance office application,https://microfinance.gov.in,Interest rate 10-12%,1-5 years
Corporate Savings Initiative,Private,36-60,All,General,Middle,Urban,Savings Accounts Promotion,All adults with ID proof,"Higher interest rates, Tax benefits",Online registration or bank visit,https://corporatesavings.in,Interest rate 4-6%,N/A
Youth Investment Scheme,Government,19-35,Male,All,Upper,All India,Investment and Savings,Young individuals with income proof,"Investment options, Tax benefits",Online portal submission,https://youthinvestment.gov.in,Varies by investment,5-10 years
Senior Citizens Pension Plan,Private,60+,All,All,All,Urban & Rural,Pension Benefits for Elderly,Elderly citizens with valid ID,"Monthly pension, Healthcare discounts",Apply through bank or online portal,https://seniorpension.in,N/A,Lifetime
ST Skill Development Fund,Government,19-35,All,ST,Middle,Tribal Areas,Skill Development for ST Community,ST youth below poverty line,"Training programs, Job placement support",Local government offices,https://stskills.gov.in,N/A,2-4 years
Private Business Loan Scheme,Private,36-60,All,All,Upper,Urban,Business Financing,Small and medium enterprise owners,"Low-interest loans, Flexible repayment",Online application or bank branch,https://privateloans.in,Interest rate 8-9%,3-7 years
OBC Community Financial Support,Government,19-60,All,OBC,Middle,All India,Financial Support for OBCs,OBC community members with income proof,"Subsidized loans, Financial counseling",Application at designated government offices,https://obcfin.support.in,Interest rate 6-8%,2-5 years
Urban Self-Help Group Fund,Government,19-60,All,General,Middle,Urban,Self-Help Group Financing,Members of registered SHGs,"Low-interest group loans, Capacity building",Through local SHG federations,https://ushgfund.in,Interest rate 5-7%,1-3 years
Minority Community Entrepreneurship Support,Government,19-50,All,Minority,Below Poverty Line,All India,Entrepreneurship Development,Minority community members with viable business idea,"Seed capital, Training, Mentorship",Online and government offices,https://minorityentrepreneurship.in,N/A,3-5 years
Women Entrepreneur Fund,Private,19-50,Female,All,Middle,Urban & Rural,Support Women-led Startups,Women with viable business plan,"Seed funding, Business mentoring",Online application portal,https://womentrepreneur.in,Interest rate 9-11%,2-4 years
Digital Financial Literacy Campaign,Government,All,All,All,All,All India,Financial Literacy for All,Open to all citizens,"Workshops, Educational materials",Registration at local centers or online,https://finlitcampaign.in,N/A,Ongoing
Rural Credit Cooperative Scheme,Government,19-60,All,All,Below Poverty Line,Rural,Rural Microcredit,Rural residents with proof of residence,"Microloans, Credit facilities",Local cooperative offices,https://ruralcredit.coop.in,Interest rate 8-10%,1-3 years
Private Pension Scheme,Private,60+,All,All,All,Urban & Rural,Retirement Savings,All citizens above 60 with ID proof,"Monthly pension, Tax benefits",Online or bank branch application,https://privatepension.in,N/A,Lifetime
Skill Enhancement Program for Youth,Government,19-35,All,All,Middle,All India,Skill Development and Employment,Young individuals below 35 with ID proof,"Skill training, Job placement assistance",Online registration and local centers,https://skilldevelopment.gov.in,N/A,6 months to 2 years
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking access for all,Open to all citizens above 10 years,"Zero balance accounts, insurance cover",Visit a bank branch or online,https://www.pmjdy.gov.in,N/A,Lifetime
Rashtriya Swasthya Bima Yojana,Government,"0-5,6-18,19-35,36-60,60+",All,All,Below Poverty Line,All India,Health insurance for the poor,Below Poverty Line households,"Cashless treatment, health coverage",Register at a common service center or online,https://www.rsby.gov.in,N/A,1 year renewable
Micro Units Development and Refinance Agency (MUDRA) Loans,Government,19-35,All,All,Below Poverty Line,Rural and Urban,Microcredit for small businesses,Startups and small entrepreneurs,"Refinance for micro loans, easy access to credit",Apply through bank or partner financial institutions,https://www.mudra.org.in,Interest rate ~7-12%,1-5 years
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Girl child savings scheme,Parents or guardians of girl children,"Tax benefits, maturity amount in INR",Online or bank branch registration,https://www.sukanyaonline.gov.in,Interest rate ~7-8%,21 years or until girl turns 21
National Pension System,Government,19-60,All,All,All,All India,Retirement pension,Indian citizens aged 18-60,"Pension post-retirement, tax benefits",Online or at pension offices,https://www.npsindia.gov.in,"Varies, market-linked",Lifetime
Bharat Finserv Gold Loan Scheme,Private,36-60,All,All,Middle,"Urban, Semi-Urban",Gold loans for urgent cash needs,"Gold jewelry, age above 18","Quick approval, flexible repayment",Visit authorized branches or online,https://www.bharatfinserv.in,Interest rate ~10-14%,N/A
LIC Micro Insurance Policy,Private,19-35,All,All,Below Poverty Line,"Rural, Urban",Micro insurance for low-income groups,Individuals below poverty line,"Life cover, affordable premiums","Online, agents, or branch visit",https://www.licindia.in,N/A,1 year to lifetime
Paytm Payments Bank Savings Account,Private,"6-18,19-35,36-60,60+",All,All,All,"Urban, Rural, All",Digital banking and savings,KYC verified customers,"No minimum balance, digital transactions",Online registration via app or website,https://paytm.com/payments-bank,Interest rate ~4-6%,N/A
HDFC Life YoungStar Udaan,Private,0-5,Female,All,Middle,"Urban, Semi-Urban",Child education and health insurance,Parents or guardians of children,"Insurance coverage, savings for child's future",Online or branch,https://www.hdfclife.com,Interest and insurance benefits,18 years
SBI Shiksha Savings Scheme,Government,6-18,All,All,Middle,All India,Education savings scheme,Parents or guardians,"Tax benefits, interest accrual",Online or SBI branch,https://www.sbi.co.in,Interest rate ~7%,N/A
Punjab National Bank Kisan Credit Card,Government,19-60,All,All,Middle,Rural India,Crop financing for farmers,Registered farmers,"Credit for crop expenses, flexible repayment",Apply at bank branches or online,https://www.pnbindia.in,Interest rate ~9-11%,1 year renewable
Axis Bank Flexible Savings Account,Private,19-60,All,All,All,"Urban, Semi-Urban, Rural",Savings and digital banking,KYC verified individuals,"No minimum balance, ATM access",Online registration or visit branch,https://www.axisbank.com,Interest rate ~4-6%,N/A
ICICI Prudential Life's Smart Kid Plan,Private,0-5,Female,All,Middle,"Urban, Semi-Urban",Child life insurance and savings,Parents or guardians of children,"Life insurance, savings, tax benefits",Online or branch registration,https://www.iciciprulife.com,Interest and insurance benefits,Lifetime or until child turns 21
Jan Dhan Yojana,Government,19-60,All,All,Below Poverty Line,India,Savings and Financial Inclusion,Open to all Indian citizens above 18 with valid ID,"Zero balance accounts, insurance, overdraft facility",Visit bank branch with ID and fill application form,https://janashree.yojana.gov.in,N/A,Lifetime
Pradhan Mantri Suraksha Bima Yojana,Government,18-70,All,All,All,India,Insurance,"Anyone aged 18-70, PAN card or Aadhar card required",Accidental death and disability cover,Apply through bank or online portal,https://pmgsy.gov.in,N/A,1 year (renewable)
Mahila Savings Scheme,Government,18-45,Female,All,Middle,Rural India,Savings and empowerment for women,"Women aged 18-45, residing in rural areas","Savings account with higher interest, financial literacy programs",Apply at local bank branch with ID and address proof,https://mahilasavings.gov.in,Interest rate 4% annually,3 years
Microcredit Finance for Entrepreneurs,Private,20-50,All,OBC,Below Poverty Line,Urban and Rural,Microcredit for small businesses,Small entrepreneurs with business plans,"Loan amount up to INR 2 lakhs, low interest rates",Online application and business verification,https://microfinanceindia.com,Interest rate 8-12% per annum,5 years
Senior Citizens Pension Plan,Private,60+,All,All,All,India,Pension savings,Citizens above 60 with ID proof,"Monthly pension, healthcare discounts",Visit bank or insurance portal online,https://seniorpension.in,"Interest rate 6% per annum, Maturity amount varies",Lifetime
Skill Development Loan Scheme,Government,18-35,All,All,Middle,India,Skill enhancement and employment,Individuals with a valid skill certification or training plan,"Loan with low interest, moratorium period",Apply through government portal or partner banks,https://skillloan.gov.in,Interest rate 7% annually,3-7 years
Digital Payment Incentive Program,Government,15-45,All,All,All,Urban India,Promote digital transactions,All residents in urban areas using digital payment methods,Cashback and discounts on digital payments,Register via government digital portal,https://digitalpay.incentives.gov.in,N/A,N/A
Agriculture Credit Support Scheme,Government,19-60,All,All,Middle,Rural India,Crop finance and agricultural investments,Farmers with valid land documents,Low-interest loans for crop cycles,Apply through agriculture cooperative banks,https://agriculturecredit.gov.in,Interest rate 6-9%,1-3 years
